FID	IID
5Y0073_BD0322	5Y0073_BD0322
5Y0075_BD0331	5Y0075_BD0331
5Y0088_BD0333	5Y0088_BD0333
5Y0105_BD0464	5Y0105_BD0464
5Y0119_BD0616	5Y0119_BD0616
5Y0185_BD0468	5Y0185_BD0468
5Y0200_BD0778	5Y0200_BD0778
5Y0224_BD1078	5Y0224_BD1078
5Y0237_BD1100	5Y0237_BD1100
5Y0240_BD0319	5Y0240_BD0319
5Y0299_BD0716	5Y0299_BD0716
5Y0303_BD0988	5Y0303_BD0988
5Y0320_BD0570	5Y0320_BD0570
5Y0331_BD1223	5Y0331_BD1223
5Y0350_BD1079	5Y0350_BD1079
5Y0351_BD0323	5Y0351_BD0323
5Y0367_BD1047	5Y0367_BD1047
5Y0383_BD0486	5Y0383_BD0486
5Y0444_BD1170	5Y0444_BD1170
5Y0480_BD1236	5Y0480_BD1236
5Y0488_BD1603	5Y0488_BD1603
5Y0519_BD1018	5Y0519_BD1018
5Y0525_BD1360	5Y0525_BD1360
5Y0526_BD1359	5Y0526_BD1359
5Y0584_BD1157	5Y0584_BD1157
5Y0683_BD0518	5Y0683_BD0518
5Y0695_BD0916	5Y0695_BD0916
5Y0703_BD0635	5Y0703_BD0635
5Y0762_BD0326	5Y0762_BD0326
5Y0776_BD0703	5Y0776_BD0703
5Y0825_BD1995	5Y0825_BD1995
5Y0863_BD1713	5Y0863_BD1713
5Y0910_BD0828	5Y0910_BD0828
10Y0004_BD0066	10Y0004_BD0066
10Y0050_BD0188	10Y0050_BD0188
10Y0058_BD0355	10Y0058_BD0355
10Y0089_BD0758	10Y0089_BD0758
10Y0092_BD0711	10Y0092_BD0711
10Y0094_BD0926	10Y0094_BD0926
10Y0102_BD0552	10Y0102_BD0552
10Y0111_BD0754	10Y0111_BD0754
10Y0120_BD0895	10Y0120_BD0895
10Y0124_BD1111	10Y0124_BD1111
10Y0147_BD0753	10Y0147_BD0753
10Y0149_BD0590	10Y0149_BD0590
10Y0178_BD0962	10Y0178_BD0962
10Y0184_BD1693	10Y0184_BD1693
10Y0190_BD0824	10Y0190_BD0824
10Y0234_BD0477	10Y0234_BD0477
10Y0253_BD0524	10Y0253_BD0524
10Y0259_BD0598	10Y0259_BD0598
10Y0275_BD1141	10Y0275_BD1141
10Y0282_BD1229	10Y0282_BD1229
10Y0284_BD1263	10Y0284_BD1263
10Y0286_BD1596	10Y0286_BD1596
10Y0314_BD0554	10Y0314_BD0554
10Y0316_BD0742	10Y0316_BD0742
10Y0325_BD0775	10Y0325_BD0775
10Y0340_BD0648	10Y0340_BD0648
10Y0342_BD0497	10Y0342_BD0497
10Y0348_BD1350	10Y0348_BD1350
10Y0352_BD1081	10Y0352_BD1081
BD0008_BD0008	BD0008_BD0008
BD0010_BD0010	BD0010_BD0010
BD0011_BD0011	BD0011_BD0011
BD0017_BD0017	BD0017_BD0017
BD0019_BD0019	BD0019_BD0019
BD0024_BD0024	BD0024_BD0024
BD0025_BD0025	BD0025_BD0025
BD0028_BD0028	BD0028_BD0028
BD0029_BD0029	BD0029_BD0029
BD0030_BD0030	BD0030_BD0030
BD0033_BD0033	BD0033_BD0033
BD0039_BD0039	BD0039_BD0039
BD0040_BD0040	BD0040_BD0040
BD0041_BD0041	BD0041_BD0041
BD0043_BD0043	BD0043_BD0043
BD0046_BD0046	BD0046_BD0046
BD0047_BD0047	BD0047_BD0047
BD0048_BD0048	BD0048_BD0048
BD0049_BD0049	BD0049_BD0049
BD0050_BD0050	BD0050_BD0050
BD0051_BD0051	BD0051_BD0051
BD0052_BD0052	BD0052_BD0052
BD0053_BD0053	BD0053_BD0053
BD0054_BD0054	BD0054_BD0054
BD0058_BD0058	BD0058_BD0058
BD0059_BD0059	BD0059_BD0059
BD0060_BD0060	BD0060_BD0060
BD0061_BD0061	BD0061_BD0061
BD0062_BD0062	BD0062_BD0062
BD0064_BD0064	BD0064_BD0064
BD0065_BD0065	BD0065_BD0065
BD0067_BD0067	BD0067_BD0067
BD0068_BD0068	BD0068_BD0068
BD0073_BD0073	BD0073_BD0073
BD0075_BD0075	BD0075_BD0075
BD0076_BD0076	BD0076_BD0076
BD0077_BD0077	BD0077_BD0077
BD0078_BD0078	BD0078_BD0078
BD0081_BD0081	BD0081_BD0081
BD0082_BD0082	BD0082_BD0082
BD0083_BD0083	BD0083_BD0083
BD0087_BD0087	BD0087_BD0087
BD0088_BD0088	BD0088_BD0088
BD0089_BD0089	BD0089_BD0089
BD0090_BD0090	BD0090_BD0090
BD0093_BD0093	BD0093_BD0093
BD0094_BD0094	BD0094_BD0094
BD0095_BD0095	BD0095_BD0095
BD0096_BD0096	BD0096_BD0096
BD0097_BD0097	BD0097_BD0097
BD0100_BD0100	BD0100_BD0100
BD0101_BD0101	BD0101_BD0101
BD0102_BD0102	BD0102_BD0102
BD0103_BD0103	BD0103_BD0103
BD0104_BD0104	BD0104_BD0104
BD0107_BD0107	BD0107_BD0107
BD0108_BD0108	BD0108_BD0108
BD0109_BD0109	BD0109_BD0109
BD0110_BD0110	BD0110_BD0110
BD0113_BD0113	BD0113_BD0113
BD0114_BD0114	BD0114_BD0114
BD0115_BD0115	BD0115_BD0115
BD0118_BD0118	BD0118_BD0118
BD0120_BD0120	BD0120_BD0120
BD0121_BD0121	BD0121_BD0121
BD0122_BD0122	BD0122_BD0122
BD0123_BD0123	BD0123_BD0123
BD0124_BD0124	BD0124_BD0124
BD0125_BD0125	BD0125_BD0125
BD0126_BD0126	BD0126_BD0126
BD0127_BD0127	BD0127_BD0127
BD0128_BD0128	BD0128_BD0128
BD0129_BD0129	BD0129_BD0129
BD0130_BD0130	BD0130_BD0130
BD0131_BD0131	BD0131_BD0131
BD0132_BD0132	BD0132_BD0132
BD0133_BD0133	BD0133_BD0133
BD0134_BD0134	BD0134_BD0134
BD0135_BD0135	BD0135_BD0135
BD0137_BD0137	BD0137_BD0137
BD0138_BD0138	BD0138_BD0138
BD0140_BD0140	BD0140_BD0140
BD0141_BD0141	BD0141_BD0141
BD0142_BD0142	BD0142_BD0142
BD0143_BD0143	BD0143_BD0143
BD0146_BD0146	BD0146_BD0146
BD0147_BD0147	BD0147_BD0147
BD0148_BD0148	BD0148_BD0148
BD0149_BD0149	BD0149_BD0149
BD0150_BD0150	BD0150_BD0150
BD0151_BD0151	BD0151_BD0151
BD0152_BD0152	BD0152_BD0152
BD0153_BD0153	BD0153_BD0153
BD0155_BD0155	BD0155_BD0155
BD0156_BD0156	BD0156_BD0156
BD0158_BD0158	BD0158_BD0158
BD0159_BD0159	BD0159_BD0159
BD0161_BD0161	BD0161_BD0161
BD0162_BD0162	BD0162_BD0162
BD0163_BD0163	BD0163_BD0163
BD0164_BD0164	BD0164_BD0164
BD0166_BD0166	BD0166_BD0166
BD0170_BD0170	BD0170_BD0170
BD0176_BD0176	BD0176_BD0176
BD0177_BD0177	BD0177_BD0177
BD0178_BD0178	BD0178_BD0178
BD0180_BD0180	BD0180_BD0180
BD0181_BD0181	BD0181_BD0181
BD0182_BD0182	BD0182_BD0182
BD0184_BD0184	BD0184_BD0184
BD0189_BD0189	BD0189_BD0189
BD0190_BD0190	BD0190_BD0190
BD0192_BD0192	BD0192_BD0192
BD0194_BD0194	BD0194_BD0194
BD0195_BD0195	BD0195_BD0195
BD0197_BD0197	BD0197_BD0197
BD0199_BD0199	BD0199_BD0199
BD0201_BD0201	BD0201_BD0201
BD0203_BD0203	BD0203_BD0203
BD0204_BD0204	BD0204_BD0204
BD0205_BD0205	BD0205_BD0205
BD0206_BD0206	BD0206_BD0206
BD0207_BD0207	BD0207_BD0207
BD0208_BD0208	BD0208_BD0208
BD0209_BD0209	BD0209_BD0209
BD0210_BD0210	BD0210_BD0210
BD0211_BD0211	BD0211_BD0211
BD0212_BD0212	BD0212_BD0212
BD0214_BD0214	BD0214_BD0214
BD0215_BD0215	BD0215_BD0215
BD0217_BD0217	BD0217_BD0217
BD0218_BD0218	BD0218_BD0218
BD0219_BD0219	BD0219_BD0219
BD0220_BD0220	BD0220_BD0220
BD0222_BD0222	BD0222_BD0222
BD0223_BD0223	BD0223_BD0223
BD0224_BD0224	BD0224_BD0224
BD0225_BD0225	BD0225_BD0225
BD0226_BD0226	BD0226_BD0226
BD0227_BD0227	BD0227_BD0227
BD0230_BD0230	BD0230_BD0230
BD0231_BD0231	BD0231_BD0231
BD0232_BD0232	BD0232_BD0232
BD0233_BD0233	BD0233_BD0233
BD0234_BD0234	BD0234_BD0234
BD0236_BD0236	BD0236_BD0236
BD0237_BD0237	BD0237_BD0237
BD0238_BD0238	BD0238_BD0238
BD0239_BD0239	BD0239_BD0239
BD0240_BD0240	BD0240_BD0240
BD0241_BD0241	BD0241_BD0241
BD0242_BD0242	BD0242_BD0242
BD0243_BD0243	BD0243_BD0243
BD0245_BD0245	BD0245_BD0245
BD0247_BD0247	BD0247_BD0247
BD0248_BD0248	BD0248_BD0248
BD0249_BD0249	BD0249_BD0249
BD0252_BD0252	BD0252_BD0252
BD0253_BD0253	BD0253_BD0253
BD0257_BD0257	BD0257_BD0257
BD0258_BD0258	BD0258_BD0258
BD0259_BD0259	BD0259_BD0259
BD0262_BD0262	BD0262_BD0262
BD0263_BD0263	BD0263_BD0263
BD0264_BD0264	BD0264_BD0264
BD0265_BD0265	BD0265_BD0265
BD0267_BD0267	BD0267_BD0267
BD0269_BD0269	BD0269_BD0269
BD0270_BD0270	BD0270_BD0270
BD0272_BD0272	BD0272_BD0272
BD0273_BD0273	BD0273_BD0273
BD0274_BD0274	BD0274_BD0274
BD0275_BD0275	BD0275_BD0275
BD0276_BD0276	BD0276_BD0276
BD0277_BD0277	BD0277_BD0277
BD0278_BD0278	BD0278_BD0278
BD0279_BD0279	BD0279_BD0279
BD0280_BD0280	BD0280_BD0280
BD0282_BD0282	BD0282_BD0282
BD0283_BD0283	BD0283_BD0283
BD0284_BD0284	BD0284_BD0284
