MarkerName	meta_OR	meta_SE	LALES_OR	LALES_SE
rs11591147	0.514124	0.102036	NA	NA
rs636523	0.0541235	0.0101363	NA	NA
rs12740374	0.127272	0.0201088	NA	NA
rs183475942	186.009	16.8151	NA	NA
rs6703630	0.0870267	0.0103838	NA	NA
rs581411	-0.109848	0.0170525	NA	NA
rs111772568	0.0417824	0.0199019	NA	NA
rs1260326	0.0782228	0.018806	-0.0403	0.0386
rs4299376	0.0728276	0.0133591	0.018	0.0469
rs7614016	0.0166659	0.0153451	NA	NA
rs12916	-0.0652208	0.0142741	-0.0098	0.037
rs12517431	-0.0452198	0.0103081	NA	NA
rs35998847	-0.0859231	0.0225603	-0.0457	0.0605
rs1867348	0.0954721	0.0172917	0.0649	0.0413
rs983309	-0.0618386	0.0183115	-0.0286	0.0411
rs2001846	0.0599546	0.017534	NA	NA
rs9282541	0.116028	0.0323922	NA	NA
9:136141870	-0.0875833	0.0214498	NA	NA
rs174554	0.0565403	0.0143442	NA	NA
rs964184	0.0647204	0.0214497	NA	NA
rs597808	-0.014286	0.0169021	NA	NA
rs2043082	-0.0471801	0.0138691	NA	NA
rs11076175	0.0518997	0.0156005	NA	NA
rs217181	0.0223816	0.0207076	-0.058	0.0368
rs9958734	-0.016224	0.0207683	-2e-04	0.0487
rs114846969	0.163951	0.0189695	NA	NA
rs2074304	0.120876	0.0274214	NA	NA
rs7412	0.264312	0.043453	NA	NA
rs3747207	0.066402	0.0202034	NA	NA
