MarkerName	meta_OR	meta_SE	NIDDM_OR	NIDDM_SE
rs7614016	0.115051	0.0249664	NA	NA
rs7630554	-0.130156	0.0232961	NA	NA
rs4974592	0.103023	0.0182377	NA	NA
4:6301275:ID	-0.109218	0.0173434	NA	NA
rs9368222	-0.103211	0.0281445	NA	NA
rs4713761	0.135241	0.0205133	NA	NA
rs849134	0.138101	0.0253241	NA	NA
rs11558471	0.0996862	0.0241875	NA	NA
rs12555274	-0.114951	0.0147771	NA	NA
rs12780155	-0.12964	0.0269785	NA	NA
rs10882099	0.0954261	0.0240951	NA	NA
rs7903146	-0.217485	0.0486881	NA	NA
rs7074047	-0.111305	0.0218723	NA	NA
rs2237897	0.319241	0.0419342	NA	NA
rs10830963	-0.132674	0.0360506	NA	NA
rs74691299	0.112915	0.028744	NA	NA
rs1558902	-0.108682	0.0330736	NA	NA
rs4785723	0.0909108	0.0177766	NA	NA
rs75418188	-0.0545005	0.0409629	NA	NA
rs16989540	-0.161126	0.042407	NA	NA
