MarkerName	meta_OR	meta_SE	BioMe_OR	BioMe_SE	Chile_OR	Chile_SE	GOLDR_OR	GOLDR_SE	HTN_OR	HTN_SE	IRAS_1_OR	IRAS_1_SE	IRAS_OR	IRAS_SE	LALES_OR	LALES_SE	MACAD_OR	MACAD_SE	MC1_OR	MC1_SE	MC2_OR	MC2_SE	MESA_OR	MESA_SE	MVP_OR	MVP_SE	NIDDM_OR	NIDDM_SE	SC_OR	SC_SE	SIGMA_1_OR	SIGMA_1_SE	SIGMA_2_OR	SIGMA_2_SE	SIGMA_3_OR	SIGMA_3_SE	SIGMA_OR	SIGMA_SE	SOL_OR	SOL_SE	WHIHA_OR	WHIHA_SE
rs11591147	0.542385	0.0947564	0.5276	0.08062	NA	NA	NA	NA	NA	NA	0.7892	0.3008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4385	0.04626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6743	0.07438	0.804	0.2052
rs4915853	-0.0129782	0.0130217	0.001391	0.01652	NA	NA	NA	NA	NA	NA	-0.04137	0.05005	-0.01428	0.1134	-0.0284	0.036	NA	NA	NA	NA	NA	NA	NA	NA	-0.03627	0.009147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.04801	0.01316	-0.1033	0.02487
rs12740374	0.16082	0.022145	0.1279	0.01861	NA	NA	NA	NA	NA	NA	0.1171	0.05524	0.2334	0.1341	NA	NA	NA	NA	NA	NA	0.1689	0.0433	NA	NA	0.1807	0.01093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2228	0.01577	0.1698	0.02997
rs183475942	183.946	37.364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1834	0.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1215	0.1395	-0.02926	0.2785
rs6703630	0.0856584	0.0110981	0.0908	0.02115	NA	NA	NA	NA	NA	NA	0.09515	0.07082	0.1036	0.1445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02417	0.01237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03684	0.01751	0.03923	0.03356
rs668948	-0.119153	0.0185036	-0.09899	0.01782	NA	NA	NA	NA	NA	NA	-0.2323	0.06341	-0.1562	0.1491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1099	0.01107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1543	0.01628	-0.1082	0.03097
rs4665972	0.0424055	0.0178112	0.04533	0.01803	NA	NA	NA	NA	NA	NA	-0.001778	0.05185	-0.006339	0.1098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04569	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06579	0.01426	0.02433	0.0269
rs4245791	0.0935465	0.0156645	0.1092	0.01905	NA	NA	NA	NA	NA	NA	-0.02211	0.05905	0.05904	0.1388	NA	NA	NA	NA	0.05367	0.06528	0.1394	0.0509	NA	NA	0.06749	0.01077	NA	NA	0.1084	0.07816	NA	NA	NA	NA	NA	NA	NA	NA	0.1052	0.0164	0.08871	0.0292
rs12916	-0.0699837	0.0167997	-0.05493	0.01668	NA	NA	NA	NA	NA	NA	-0.1554	0.04915	-0.1023	0.1039	-0.0546	0.0364	NA	NA	NA	NA	-0.03273	0.03311	NA	NA	-0.08629	0.009212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.08372	0.01334	-0.07405	0.02491
rs17206182	-0.0801393	0.0205498	-0.07267	0.0263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003635	0.06089	NA	NA	-0.07045	0.0144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs58458113	0.0637754	0.0170039	0.03288	0.02056	NA	NA	NA	NA	NA	NA	0.08985	0.05088	0.1626	0.113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05349	0.01027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07159	0.01517	0.09795	0.02784
rs7012814	-0.0341249	0.0128319	-0.02184	0.01692	NA	NA	NA	NA	NA	NA	-0.0896	0.048	0.06816	0.1191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.04333	0.009482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.02809	0.01281	-0.06553	0.02427
rs2001846	0.0320061	0.0156142	0.0117	0.017	NA	NA	NA	NA	NA	NA	0.07753	0.04705	-0.1278	0.1105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06432	0.009111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07739	0.01316	0.02187	0.02457
rs188402952	223.927	39.9875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.4384	0.2454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.4111	0.273	-0.1014	0.4649
9:136141870	-0.100336	0.0180315	NA	NA	-0.1045	0.0769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs174530	0.0622514	0.0135136	0.05582	0.01772	NA	NA	NA	NA	NA	NA	0.04585	0.0487	0.1033	0.1131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07756	0.01461	0.0981	0.02435
rs2264778	-0.0498686	0.0141911	-0.06594	0.01674	NA	NA	NA	NA	NA	NA	-0.05921	0.05137	-0.0252	0.1167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.03838	0.009683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.04049	0.01353	-0.03734	0.02544
rs217181	0.0276072	0.0216834	-0.0126	0.01952	NA	NA	NA	NA	NA	NA	0.01072	0.05	0.1399	0.1158	-0.0449	0.0364	NA	NA	NA	NA	NA	NA	NA	NA	0.06178	0.0104	NA	NA	-0.05583	0.06416	NA	NA	NA	NA	NA	NA	NA	NA	0.08573	0.01436	0.05767	0.02618
rs114846969	0.206538	0.0250544	0.1971	0.02534	NA	NA	NA	NA	NA	NA	0.2456	0.07924	0.3573	0.1813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2206	0.01465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.231	0.02186	0.2064	0.056
