MarkerName	meta_OR	meta_SE	WHIHA_OR	WHIHA_SE
rs7614016	0.115051	0.0249664	0.08703	0.1048
rs7630554	-0.130156	0.0232961	-0.1835	0.09729
rs4974592	0.103023	0.0182377	0.1006	0.1165
4:6301275:ID	-0.109218	0.0173434	NA	NA
rs9368222	-0.103211	0.0281445	-0.08496	0.09834
rs4713761	0.135241	0.0205133	0.2834	0.1276
rs849134	0.138101	0.0253241	0.1545	0.09339
rs11558471	0.0996862	0.0241875	-0.04878	0.1058
rs12555274	-0.114951	0.0147771	-0.1052	0.09888
rs12780155	-0.12964	0.0269785	-0.1093	0.1042
rs10882099	0.0954261	0.0240951	0.2375	0.09539
rs7903146	-0.217485	0.0486881	-0.07166	0.1015
rs7074047	-0.111305	0.0218723	-0.03929	0.0944
rs2237897	0.319241	0.0419342	0.247	0.1287
rs10830963	-0.132674	0.0360506	-0.1253	0.1058
rs74691299	0.112915	0.028744	-0.1185	0.1576
rs1558902	-0.108682	0.0330736	-0.05419	0.1008
rs4785723	0.0909108	0.0177766	0.03033	0.09822
rs75418188	-0.0545005	0.0409629	0.0149	0.1344
rs16989540	-0.161126	0.042407	-0.1018	0.1382
