gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000000457	SCYL3	30	NA	0.16510143984677716	5.046093440053429e-28
ENSG00000000460	C1orf112	12	NA	0.06396446257016004	3.083493771058414e-11
ENSG00000001036	FUCA2	28	NA	0.07578917893447067	4.069504999497247e-13
ENSG00000001084	GCLC	12	NA	0.02714359076445058	1.8201178280487298e-05
ENSG00000001167	NFYA	5	NA	0.018574164971363407	0.0004037274226104764
ENSG00000001460	STPG1	9	NA	0.07312202020616122	1.0840286936498708e-12
ENSG00000001461	NIPAL3	16	NA	0.027922961047524973	1.3747961031615704e-05
ENSG00000001561	ENPP4	23	NA	0.17337828804933167	1.7673737501785257e-29
ENSG00000001629	ANKIB1	3	NA	0.060311097856200306	1.164950365355593e-10
ENSG00000001631	KRIT1	12	NA	0.01800772773332483	0.0004962455991550784
ENSG00000002016	RAD52	16	NA	0.17560096994861354	7.145782376497388e-30
ENSG00000002549	LAP3	13	NA	0.3583925792172742	2.1828773895544417e-66
ENSG00000002587	HS3ST1	5	NA	0.01765298283423866	0.0005647768331787305
ENSG00000002726	AOC1	13	NA	0.44549955339114866	1.3409026663543318e-87
ENSG00000002822	MAD1L1	81	NA	0.22978938182120912	8.593134705538337e-40
ENSG00000002834	LASP1	21	NA	0.01648658271473106	0.0008648921830121032
ENSG00000002919	SNX11	12	NA	0.2711848210545	7.677967193392145e-48
ENSG00000002933	TMEM176A	28	NA	0.643178370086862	1.2692769330786677e-151
ENSG00000003056	M6PR	11	NA	0.07503978549186445	5.360312189459351e-13
ENSG00000003137	CYP26B1	4	NA	0.26337409143668383	2.7403301553255842e-46
ENSG00000003147	ICA1	46	NA	0.10806942514024243	2.3873402444656427e-18
ENSG00000003249	DBNDD1	26	NA	0.10614708792019037	4.94312814761891e-18
ENSG00000003393	ALS2	13	NA	0.223409533043184	1.370124521760319e-38
ENSG00000003436	TFPI	10	NA	0.01176978271909056	0.004935457820060493
ENSG00000003509	NDUFAF7	13	NA	0.025144708946485735	3.7404515367796077e-05
ENSG00000004139	SARM1	3	NA	0.03685216257837975	5.547022171568105e-07
ENSG00000004142	POLDIP2	10	NA	0.04942673632537962	5.996767944629408e-09
ENSG00000004399	PLXND1	15	NA	0.03609973050533956	7.269503820363909e-07
ENSG00000004455	AK2	9	NA	0.020802869191790977	0.00017968711571053305
ENSG00000004534	RBM6	21	NA	0.5392038122816606	1.717614415723123e-114
ENSG00000004660	CAMKK1	10	NA	0.0862919404851493	8.403925529400773e-15
ENSG00000004700	RECQL	14	NA	0.04404235038994284	4.177168974495646e-08
ENSG00000004766	VPS50	19	NA	0.048524721646792	8.303885970384402e-09
ENSG00000004777	ARHGAP33	22	NA	0.17529385998955385	8.099348262907807e-30
ENSG00000004779	NDUFAB1	17	NA	0.013368250985472062	0.002724284704758354
ENSG00000004809	SLC22A16	26	NA	0.2906596731464908	8.741429233090862e-52
ENSG00000004838	ZMYND10	10	NA	0.020045856981846782	0.00023646710586154563
ENSG00000004864	SLC25A13	27	NA	0.09381474056623385	5.101275649700354e-16
ENSG00000005001	PRSS22	10	NA	0.0690181603629451	4.874482230991126e-12
ENSG00000005020	SKAP2	35	NA	0.5093468499911589	2.2592995270575435e-105
ENSG00000005075	POLR2J	8	NA	0.014927968378222014	0.0015321429841740025
ENSG00000005156	LIG3	22	NA	0.1236437590390057	6.2254755575410315e-21
ENSG00000005175	RPAP3	23	NA	0.12800594359415784	1.1560656420830737e-21
ENSG00000005189	REXO5	3	NA	0.013232189592219019	0.0028650853429846588
ENSG00000005194	CIAPIN1	11	NA	0.01960325955033689	0.000277694824511214
ENSG00000005206	SPPL2B	13	NA	0.04867063088053246	7.87805039547881e-09
ENSG00000005243	COPZ2	7	NA	0.053427532248341396	1.41282372172408e-09
ENSG00000005249	PRKAR2B	2	NA	0.03873167687468326	2.8225654408863993e-07
ENSG00000005381	MPO	17	NA	0.028858213540735443	9.819019286060872e-06
ENSG00000005513	SOX8	18	NA	0.01234012377269997	0.003990162477089825
ENSG00000005801	ZNF195	33	NA	0.1540049007098561	4.295287186796764e-26
ENSG00000005844	ITGAL	21	NA	0.012733802494849001	0.0034468738435479594
ENSG00000005882	PDK2	44	NA	0.08071227640557196	6.631531090710072e-14
ENSG00000005884	ITGA3	19	NA	0.02782369866516684	1.4248065800562901e-05
ENSG00000006007	GDE1	20	NA	0.053887729852619436	1.1961320622275934e-09
ENSG00000006015	REX1BD	3	NA	0.21646195169412544	2.725543897547467e-37
ENSG00000006025	OSBPL7	12	NA	0.025676283322331947	3.08807412451984e-05
ENSG00000006042	TMEM98	29	NA	0.1436219243473565	2.613885161408627e-24
ENSG00000006047	YBX2	9	NA	0.03419118935972207	1.443389046674918e-06
ENSG00000006125	AP2B1	4	NA	0.021078856078186256	0.00016258370858363556
ENSG00000006194	ZNF263	16	NA	0.06991494610813778	3.511085863866819e-12
ENSG00000006282	SPATA20	44	NA	0.7155689161491479	1.5493269135972114e-184
ENSG00000006327	TNFRSF12A	15	NA	0.011858572732029525	0.00477454926410927
ENSG00000006432	MAP3K9	5	NA	0.17398299316221708	1.3817622449780935e-29
ENSG00000006451	RALA	10	NA	0.019723923718978967	0.00026578687444151096
ENSG00000006453	BAIAP2L1	8	NA	0.029590422703176467	7.5452393145580536e-06
ENSG00000006459	KDM7A	12	NA	0.029038718487012803	9.201618014672189e-06
ENSG00000006530	AGK	7	NA	0.02096835344830702	0.00016922623978532554
ENSG00000006534	ALDH3B1	31	NA	0.02767159430773636	1.504997817489793e-05
ENSG00000006555	TTC22	32	NA	0.018953338431014363	0.00035169568001855526
ENSG00000006607	FARP2	32	NA	0.16867339022931732	1.1925307547335666e-28
ENSG00000006625	GGCT	12	NA	0.04262137113428028	6.966806893590545e-08
ENSG00000006634	DBF4	2	NA	0.01646293812852613	0.0008724089996208094
ENSG00000006638	TBXA2R	18	NA	0.032843798481227364	2.3425437513632874e-06
ENSG00000006652	IFRD1	20	NA	0.1377818882203551	2.5819774328265746e-23
ENSG00000006712	PAF1	3	NA	0.01251965472620762	0.0037323823876191484
ENSG00000006715	VPS41	30	NA	0.05855957617195101	2.2005876910913743e-10
ENSG00000006744	ELAC2	65	NA	0.2259655356188899	4.5301757966534084e-39
ENSG00000006831	ADIPOR2	16	NA	0.08244088231269807	3.500698465437102e-14
ENSG00000007038	PRSS21	20	NA	0.06065391191344139	1.0284980260293873e-10
ENSG00000007047	MARK4	11	NA	0.5218651172216495	3.9798036246235146e-109
