MarkerName	meta_OR	meta_SE	BioMe_OR	BioMe_SE	GOLDR_OR	GOLDR_SE	HTN_OR	HTN_SE	LALES_OR	LALES_SE	MACAD_OR	MACAD_SE	MC1_OR	MC1_SE	MC2_OR	MC2_SE	MESA_OR	MESA_SE	MVP_OR	MVP_SE	NIDDM_OR	NIDDM_SE	SanAntonio_OR	SanAntonio_SE	SC_OR	SC_SE	SIGMA_1_OR	SIGMA_1_SE	SIGMA_OR	SIGMA_SE	SOL_OR	SOL_SE	WHIHA_OR	WHIHA_SE
rs7614016	0.115051	0.0249664	0.07511	0.03343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.083	0.026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08703	0.1048
rs7630554	-0.130156	0.0232961	-0.08523	0.02868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0929	0.0244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1835	0.09729
rs4974592	0.103023	0.0182377	0.1319	0.04245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1006	0.1165
4:6301275:ID	-0.109218	0.0173434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9368222	-0.103211	0.0281445	-0.09014	0.03218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.2227	0.08196	NA	NA	-0.1021	0.0255	NA	NA	NA	NA	0.1152	0.1694	NA	NA	NA	NA	-0.1781	0.05026	-0.08496	0.09834
rs4713761	0.135241	0.0205133	0.1647	0.04233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0878	0.0299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1078	0.0579	0.2834	0.1276
rs849134	0.138101	0.0253241	0.09985	0.02785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2179	0.07639	NA	NA	0.1083	0.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1545	0.09339
rs11558471	0.0996862	0.0241875	0.08066	0.03104	NA	NA	NA	NA	0.1254	0.05891	NA	NA	NA	NA	-0.01226	0.07727	NA	NA	0.105	0.0249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.04878	0.1058
rs12555274	-0.114951	0.0147771	-0.1268	0.03106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1052	0.09888
rs12780155	-0.12964	0.0269785	-0.1046	0.03253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1093	0.1042
