MarkerName	meta_OR	meta_SE	MVP_OR	MVP_SE
rs7614016	0.115051	0.0249664	0.083	0.026
rs7630554	-0.130156	0.0232961	-0.0929	0.0244
rs4974592	0.103023	0.0182377	NA	NA
4:6301275:ID	-0.109218	0.0173434	NA	NA
rs9368222	-0.103211	0.0281445	-0.1021	0.0255
rs4713761	0.135241	0.0205133	0.0878	0.0299
rs849134	0.138101	0.0253241	0.1083	0.023
rs11558471	0.0996862	0.0241875	0.105	0.0249
rs12555274	-0.114951	0.0147771	NA	NA
rs12780155	-0.12964	0.0269785	NA	NA
rs10882099	0.0954261	0.0240951	0.1083	0.0232
rs7903146	-0.217485	0.0486881	-0.2279	0.0254
rs7074047	-0.111305	0.0218723	NA	NA
rs2237897	0.319241	0.0419342	0.1928	0.0297
rs10830963	-0.132674	0.0360506	-0.1175	0.0266
rs74691299	0.112915	0.028744	NA	NA
rs1558902	-0.108682	0.0330736	-0.115	0.0257
rs4785723	0.0909108	0.0177766	NA	NA
rs75418188	-0.0545005	0.0409629	NA	NA
rs16989540	-0.161126	0.042407	-0.1293	0.0356
