MarkerName	meta_OR	meta_SE	BioMe_OR	BioMe_SE
rs7614016	0.115051	0.0249664	0.07511	0.03343
rs7630554	-0.130156	0.0232961	-0.08523	0.02868
rs4974592	0.103023	0.0182377	0.1319	0.04245
4:6301275:ID	-0.109218	0.0173434	NA	NA
rs9368222	-0.103211	0.0281445	-0.09014	0.03218
rs4713761	0.135241	0.0205133	0.1647	0.04233
rs849134	0.138101	0.0253241	0.09985	0.02785
rs11558471	0.0996862	0.0241875	0.08066	0.03104
rs12555274	-0.114951	0.0147771	-0.1268	0.03106
rs12780155	-0.12964	0.0269785	-0.1046	0.03253
rs10882099	0.0954261	0.0240951	0.0344	0.02875
rs7903146	-0.217485	0.0486881	-0.08556	0.02922
rs7074047	-0.111305	0.0218723	-0.1412	0.02862
rs2237897	0.319241	0.0419342	0.1798	0.03976
rs10830963	-0.132674	0.0360506	-0.1251	0.03777
rs74691299	0.112915	0.028744	0.1007	0.03906
rs1558902	-0.108682	0.0330736	-0.01593	0.03156
rs4785723	0.0909108	0.0177766	0.08434	0.02783
rs75418188	-0.0545005	0.0409629	-0.04447	0.04807
rs16989540	-0.161126	0.042407	-0.1005	0.04511
